0 0 0
6.03215 -110.661 0.0135285
24.0793 -220.213 0.0270418
53.994 -327.558 0.0405247
95.5319 -431.613 0.0539623
148.354 -531.323 0.0673396
212.029 -625.669 0.0806421
286.039 -713.674 0.0938553
369.782 -794.413 0.106965
462.576 -867.017 0.119958
563.669 -930.685 0.132821
672.243 -984.686 0.145541
787.422 -1028.36 0.158107
908.278 -1061.15 0.170506
1033.84 -1082.55 0.182728
1163.11 -1092.16 0.194764
1295.05 -1089.69 0.206605
1428.62 -1074.9 0.218243
1562.77 -1047.68 0.229671
1696.45 -1007.99 0.240884
1828.63 -955.889 0.251879
1958.28 -891.514 0.262654
2084.43 -815.093 0.273209
2206.13 -726.932 0.283546
2322.49 -627.404 0.29367
2432.68 -516.952 0.303589
2535.92 -396.069 0.313313
2631.52 -265.298 0.322859
2718.88 -125.21 0.332247
2797.48 23.6026 0.341502
2866.91 180.547 0.350658
2926.86 345.051 0.359757
2977.15 516.584 0.368852
3017.72 694.691 0.378009
3048.66 879.029 0.387312
3070.24 1069.42 0.39687
3082.88 1265.9 0.40682
3087.24 1468.86 0.417341
3084.22 1679.09 0.428669
3075.07 1898.06 0.441123
3061.46 2128.14 0.455136
3045.68 2373.11 0.471321
3030.9 2638.89 0.490566
3021.71 2934.9 0.51421
3025.09 3276.55 0.54437
3052.32 3690.31 0.584602
3123.41 4224.96 0.641375
3278.18 4980.22 0.72782
3610.56 6195.01 0.87529
4412.27 8617.04 1.18176
7293.87 16386.8 2.18955
-40691 -106704 13.9404
-3054.91 -9541.3 1.22295
-1073.7 -4112.05 0.518789
-440.993 -2164.91 0.269698
-172.724 -1170.6 0.144442
-53.2 -576.383 0.0706584
-7.16858 -190.653 0.0232895
-1.19498 70.8122 0.0086453
-17.9357 251.019 0.0307201
-47.3449 374.404 0.0460676
-83.0991 456.037 0.0565852
-120.953 505.856 0.0634906
-157.911 530.806 0.0676022
-191.782 535.994 0.0694911
-220.918 525.347 0.0695687
-244.063 502.01 0.0681389
-260.258 468.594 0.0654317
-268.771 427.33 0.0616242
-269.061 380.176 0.0568549
-260.745 328.882 0.0512333
-243.574 275.036 0.044847
-217.417 220.102 0.0377659
-182.247 165.434 0.0300458
-138.128 112.299 0.0217307
-85.2011 61.8823 0.0128543
-23.6763 15.3 0.00344112
46.1809 -26.3956 0.00649318
124.061 -62.2089 0.0169415
209.625 -91.1944 0.0279056
302.517 -112.449 0.039397
402.38 -125.1 0.0514378
508.881 -128.298 0.0640631
621.725 -121.192 0.0773227
740.692 -102.913 0.0912851
865.667 -72.5405 0.106043
996.687 -29.0573 0.121718
1134 28.7086 0.138473
1278.17 102.173 0.156524
1430.16 193.122 0.176165
1591.55 303.909 0.197792
1764.8 437.747 0.221958
1953.68 599.194 0.249451
2164.04 794.963 0.281425
2405.08 1035.34 0.319637
2691.88 1336.91 0.366892
3050.35 1728 0.427954
3528.67 2261.14 0.511593
4226.7 3045.2 0.635917
5389.45 4347.44 0.845256
7818.28 7042.51 1.28448
16511.6 16587.8 2.85705
-48246 -54058.8 8.84486
-8196.63 -10257.5 1.6028
-3966.07 -5558.62 0.833554
-2354.7 -3712.17 0.536621
-1512.56 -2698.93 0.37767
-1002.81 -2042.72 0.277782
-668.651 -1573.15 0.208662
-439.765 -1214.36 0.157658
-279.811 -927.532 0.118264
-167.996 -690.878 0.0867932
-91.467 -491.269 0.0609999
-41.7603 -320.365 0.0394379
-13.0012 -172.643 0.0211342
-0.917619 -44.3044 0.00540941
-2.27351 67.3426 0.00822521
-14.5268 164.269 0.0201306
-35.616 247.96 0.0305793
-63.8228 319.578 0.0397813
-97.6814 380.057 0.0479015
-135.918 430.182 0.0550712
-177.409 470.634 0.0613967
